team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
PHI,29,34,25,29,0,0,117, BOS,24,39,35,28,0,0,126, PHI, BOS, BOS, PHI, BOS, away,  October 18,2022
BOS,24,39,35,28,0,0,126, PHI,29,34,25,29,0,0,117, PHI, BOS, BOS, PHI, BOS, home,  October 18,2022
LAL,22,30,19,38,0,0,109, GSW,25,34,32,32,0,0,123, GSW, GSW, GSW, LAL, GSW, away,  October 18,2022
GSW,25,34,32,32,0,0,123, LAL,22,30,19,38,0,0,109, GSW, GSW, GSW, LAL, GSW, home,  October 18,2022
ORL,28,27,28,26,0,0,109, DET,17,40,34,22,0,0,113, ORL, DET, DET, ORL, DET, away,  October 19,2022
DET,17,40,34,22,0,0,113, ORL,28,27,28,26,0,0,109, ORL, DET, DET, ORL, DET, home,  October 19,2022
WAS,36,24,27,27,0,0,114, IND,25,27,25,30,0,0,107, WAS, IND, WAS, IND, WAS, away,  October 19,2022
IND,25,27,25,30,0,0,107, WAS,36,24,27,27,0,0,114, WAS, IND, WAS, IND, WAS, home,  October 19,2022
HOU,20,30,30,27,0,0,107, ATL,26,33,25,33,0,0,117, ATL, ATL, HOU, ATL, ATL, away,  October 19,2022
ATL,26,33,25,33,0,0,117, HOU,20,30,30,27,0,0,107, ATL, ATL, HOU, ATL, ATL, home,  October 19,2022
NOP,32,26,40,32,0,0,130, BRK,14,36,28,30,0,0,108, NOP, BRK, NOP, NOP, NOP, away,  October 19,2022
BRK,14,36,28,30,0,0,108, NOP,32,26,40,32,0,0,130, NOP, BRK, NOP, NOP, NOP, home,  October 19,2022
NYK,23,23,33,29,4,0,112, MEM,25,36,24,23,7,0,115, MEM, MEM, NYK, NYK, MEM, away,  October 19,2022
MEM,25,36,24,23,7,0,115, NYK,23,23,33,29,4,0,112, MEM, MEM, NYK, NYK, MEM, home,  October 19,2022
CHI,28,31,37,20,0,0,116, MIA,33,26,27,22,0,0,108, MIA, CHI, CHI, MIA, CHI, away,  October 19,2022
MIA,33,26,27,22,0,0,108, CHI,28,31,37,20,0,0,116, MIA, CHI, CHI, MIA, CHI, home,  October 19,2022
CLE,22,35,27,21,0,0,105, TOR,28,23,25,32,0,0,108, TOR, CLE, CLE, TOR, TOR, away,  October 19,2022
TOR,28,23,25,32,0,0,108, CLE,22,35,27,21,0,0,105, TOR, CLE, CLE, TOR, TOR, home,  October 19,2022
OKC,22,30,35,21,0,0,108, MIN,35,30,22,28,0,0,115, MIN, MIN, OKC, MIN, MIN, away,  October 19,2022
MIN,35,30,22,28,0,0,115, OKC,22,30,35,21,0,0,108, MIN, MIN, OKC, MIN, MIN, home,  October 19,2022
CHO,38,30,30,31,0,0,129, SAS,22,25,28,27,0,0,102, CHO, CHO, CHO, CHO, CHO, away,  October 19,2022
